Date,Transaction_Count
2024-01-01,90
2024-01-02,123
2024-01-03,77
2024-01-04,71
2024-01-05,88
2024-01-06,77
2024-01-07,31
2024-01-08,68
2024-01-09,77
2024-01-10,28
2024-01-11,57
2024-01-12,48
2024-01-13,21
2024-01-14,40
2024-01-15,34
2024-01-16,22
2024-01-17,62
2024-01-18,31
2024-01-19,35
2024-01-20,61
2024-01-21,39
2024-01-22,40
2024-01-23,34
2024-01-24,35
2024-01-25,44
2024-01-26,51
2024-01-27,42
2024-01-28,35
2024-01-29,43
2024-01-30,45
2024-01-31,38
2024-02-01,19
2024-02-02,53
2024-02-03,32
2024-02-04,36
2024-02-05,65
2024-02-06,41
2024-02-07,51
2024-02-08,21
2024-02-09,22
2024-02-10,37
2024-02-11,55
2024-02-12,31
2024-02-13,46
2024-02-14,72
2024-02-15,38
2024-02-16,37
2024-02-17,37
2024-02-18,47
2024-02-19,52
2024-02-20,26
2024-02-21,45
2024-02-22,23
2024-02-23,36
2024-02-24,59
2024-02-25,42
2024-02-26,54
2024-02-27,67
2024-02-28,26
2024-02-29,20
2024-03-01,55
2024-03-02,55
2024-03-03,61
2024-03-04,43
2024-03-05,27
2024-03-06,80
2024-03-07,96
2024-03-08,84
2024-03-09,117
2024-03-10,101
2024-03-11,141
2024-03-12,202
2024-03-13,168
2024-03-14,170
2024-03-15,180
2024-03-16,172
2024-03-17,214
2024-03-18,171
2024-03-19,248
2024-03-20,136
2024-03-21,92
2024-03-22,86
2024-03-23,104
2024-03-24,95
2024-03-25,141
2024-03-26,319
2024-03-27,140
2024-03-28,87
2024-03-29,140
2024-03-30,130
2024-03-31,85
2024-04-01,151
2024-04-02,111
2024-04-03,82
2024-04-04,128
2024-04-05,130
2024-04-06,98
2024-04-07,52
2024-04-08,91
2024-04-09,158
2024-04-10,115
2024-04-11,131
2024-04-12,108
2024-04-13,175
2024-04-14,189
2024-04-15,137
2024-04-16,135
2024-04-17,86
2024-04-18,111
2024-04-19,137
2024-04-20,138
2024-04-21,146
2024-04-22,160
2024-04-23,140
2024-04-24,136
2024-04-25,124
2024-04-26,159
2024-04-27,167
2024-04-28,177
2024-04-29,64
2024-04-30,124
2024-05-01,179
2024-05-02,169
2024-05-03,145
2024-05-04,230
2024-05-05,286
2024-05-06,228
2024-05-07,261
2024-05-08,106
2024-05-09,166
2024-05-10,139
2024-05-11,132
2024-05-12,114
2024-05-13,166
2024-05-14,106
2024-05-15,305
2024-05-16,337
2024-05-17,209
2024-05-18,162
2024-05-19,145
2024-05-20,155
2024-05-21,154
2024-05-22,133
2024-05-23,232
2024-05-24,156
2024-05-25,256
2024-05-26,195
2024-05-27,139
2024-05-28,163
2024-05-29,129
2024-05-30,183
2024-05-31,127
2024-06-01,164
2024-06-02,144
2024-06-03,160
2024-06-04,130
2024-06-05,139
2024-06-06,79
2024-06-07,127
2024-06-08,144
2024-06-09,124
2024-06-10,105
2024-06-11,151
2024-06-12,116
2024-06-13,93
2024-06-14,137
2024-06-15,144
2024-06-16,123
2024-06-17,172
2024-06-18,224
2024-06-19,168
2024-06-20,172
2024-06-21,130
2024-06-22,275
2024-06-23,114
2024-06-24,204
2024-06-25,113
