Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method,Log_Quantity,Date,Rank
0xba58159d8b04eec426e274896f2480d57c3fa39ae54c5c8ade6161e0e58919b9,19976465,1716997175,2024-05-29 15:39:35,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,0x0d3808852473db55e5c0d6528483b2514f5ec680,750000.0,Transfer,13.527829818844937,2024-05-29,1.0
0xd76505df42906cf49ecd551c2cb19f728d1b5103fd6ac86f3c576d6b1741f7b5,19976471,1716997247,2024-05-29 15:40:47,0x0d3808852473db55e5c0d6528483b2514f5ec680,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,748125.0,Shield,13.525326691968502,2024-05-29,2.0
0x88ee8181aba8d601d1972480b731b55a04b790befb67fd961df0b1352134fceb,19911650,1716214295,2024-05-20 14:11:35,0x0000000000000000000000000000000000000000,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,150000.0,Finalise Near To Eth Transfer,11.918397239722838,2024-05-20,3.0
0xe231a20bc24f88cbe2eb1955544e561ab2eb978fbd62083f9c59ae164f0e08e5,19914915,1716253871,2024-05-21 01:11:11,0x0000000000000000000000000000000000000000,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,150000.0,Finalise Near To Eth Transfer,11.918397239722838,2024-05-21,3.0
0x4d9a14049cd09835e1c52b099bfff56b274eb881f8af1433b47807e952452f4f,19914920,1716253931,2024-05-21 01:12:11,0x0000000000000000000000000000000000000000,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,150000.0,Finalise Near To Eth Transfer,11.918397239722838,2024-05-21,3.0
0xb8742b9fe11af2e8b8f3ea05bf1b877f27f3961cad38a07f6dfc9e94f51299b1,19914917,1716253895,2024-05-21 01:11:35,0x0000000000000000000000000000000000000000,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,150000.0,Finalise Near To Eth Transfer,11.918397239722838,2024-05-21,3.0
0xe0a84030e852d0522a6e8a2fc2ac0f35ce307d22de3e66e10aa973a7ed4e6189,19911647,1716214259,2024-05-20 14:10:59,0x0000000000000000000000000000000000000000,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,150000.0,Finalise Near To Eth Transfer,11.918397239722838,2024-05-20,3.0
0xcd0040eff828478f5561af9258c8fe2512236bfdc2da08f5e466503eb89d59b7,19905097,1716135167,2024-05-19 16:12:47,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,0x0d3808852473db55e5c0d6528483b2514f5ec680,84956.0,Transfer,11.349900525117864,2024-05-19,8.0
0x582324c488320c47d0ca6f5dbeb52b61796255257873995cdc3062aafe736f0e,19905081,1716134975,2024-05-19 16:09:35,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,0xfbf9e10ebb9f3b518f3329fcb416821c35b720a5,84956.0,Transfer,11.349900525117864,2024-05-19,8.0
0x4456a8565a49010beb06afee221c815e6cb2051f25aa9cbb7385d3a0ef55cad4,19905105,1716135263,2024-05-19 16:14:23,0x0d3808852473db55e5c0d6528483b2514f5ec680,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,84744.585,Shield,11.347408929490456,2024-05-19,10.0
